,Mas Vnr Area,Garage Yr Blt,Year Remod/Add,Full Bath,Year Built,1st Flr SF,Total Bsmt SF,Garage Area,Garage Cars,Gr Liv Area,Overall Qual,SalePrice
0,112.0,1960.0,1960,1,1960,1656,1080.0,528.0,2.0,1656,6,215000
1,0.0,1961.0,1961,1,1961,896,882.0,730.0,1.0,896,5,105000
2,108.0,1958.0,1958,1,1958,1329,1329.0,312.0,1.0,1329,6,172000
3,0.0,1968.0,1968,2,1968,2110,2110.0,522.0,2.0,2110,7,244000
4,0.0,1997.0,1998,2,1997,928,928.0,482.0,2.0,1629,5,189900
5,20.0,1998.0,1998,2,1998,926,926.0,470.0,2.0,1604,6,195500
6,0.0,2001.0,2001,2,2001,1338,1338.0,582.0,2.0,1338,8,213500
7,0.0,1992.0,1992,2,1992,1280,1280.0,506.0,2.0,1280,8,191500
8,0.0,1995.0,1996,2,1995,1616,1595.0,608.0,2.0,1616,8,236500
9,0.0,1999.0,1999,2,1999,1028,994.0,442.0,2.0,1804,7,189000
10,0.0,1993.0,1994,2,1993,763,763.0,440.0,2.0,1655,6,175900
11,0.0,1992.0,2007,2,1992,1187,1168.0,420.0,2.0,1187,6,185000
12,0.0,1998.0,1998,2,1998,789,789.0,393.0,2.0,1465,6,180400
13,0.0,1990.0,1990,1,1990,1341,1300.0,506.0,2.0,1341,7,171500
14,0.0,1985.0,1985,1,1985,1502,1488.0,528.0,2.0,1502,8,212000
15,603.0,2003.0,2003,3,2003,1690,1650.0,841.0,3.0,3279,8,538000
16,0.0,1988.0,2005,2,1988,1080,559.0,492.0,2.0,1752,8,164000
17,350.0,2010.0,2010,1,2010,1856,1856.0,834.0,3.0,1856,9,394432
18,0.0,1951.0,1951,1,1951,864,864.0,400.0,2.0,864,4,141000
19,119.0,1978.0,1988,2,1978,2073,1542.0,500.0,2.0,2073,6,210000
20,480.0,1977.0,1977,2,1977,1844,1844.0,546.0,2.0,1844,6,190000
21,81.0,1974.0,1974,2,1974,1173,1053.0,528.0,2.0,1173,7,170000
22,0.0,2000.0,2000,2,2000,814,814.0,663.0,2.0,1674,7,216000
23,180.0,1970.0,1970,1,1970,1004,1004.0,480.0,2.0,1004,6,149000
24,0.0,1971.0,2008,1,1971,1078,1078.0,500.0,2.0,1078,5,149900
25,0.0,1968.0,1968,1,1968,1056,1056.0,304.0,1.0,1056,5,142000
26,0.0,1970.0,1970,1,1970,882,882.0,525.0,2.0,882,4,126000
27,0.0,1977.8634377276037,1971,1,1971,864,864.0,0.0,0.0,864,4,115000
28,0.0,1999.0,1999,2,1999,1337,1405.0,511.0,2.0,1337,7,184000
29,504.0,1971.0,1971,1,1971,483,483.0,264.0,1.0,987,6,96000
30,492.0,1997.0,1971,1,1971,525,525.0,320.0,1.0,1092,5,105500
31,381.0,1971.0,1971,1,1971,525,525.0,264.0,1.0,1092,6,88000
32,0.0,1977.0,1977,2,1977,1069,1069.0,440.0,2.0,1069,6,127500
33,0.0,1975.0,1975,2,1975,855,855.0,440.0,2.0,1456,6,149900
34,0.0,1975.0,1975,1,1975,836,836.0,308.0,1.0,836,7,120000
35,0.0,1978.0,1978,2,1978,855,855.0,440.0,2.0,1456,6,146000
36,162.0,2009.0,2010,2,2009,1627,1590.0,751.0,3.0,2334,9,376162
37,200.0,2008.0,2008,2,2007,1704,1704.0,772.0,3.0,1704,8,306000
38,450.0,2010.0,2010,2,2009,1940,1930.0,606.0,3.0,1940,9,395192
39,256.0,2009.0,2010,2,2009,1544,1544.0,868.0,3.0,1544,8,290941
40,226.0,2005.0,2005,2,2005,1541,1541.0,532.0,2.0,1541,7,220000
41,615.0,2005.0,2005,2,2005,1698,1698.0,730.0,3.0,1698,9,275000
42,240.0,2005.0,2006,2,2005,1822,1822.0,678.0,3.0,1822,8,259000
43,168.0,2004.0,2004,2,2004,1535,1517.0,532.0,2.0,1535,7,214000
44,760.0,2009.0,2010,2,2009,2364,2330.0,820.0,3.0,2364,9,611657
45,128.0,2010.0,2010,2,2009,1358,1358.0,484.0,2.0,1358,7,224000
