,MS Zoning_C (all),MS Zoning_FV,MS Zoning_I (all),MS Zoning_RH,MS Zoning_RL,MS Zoning_RM,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition 2_Feedr,Condition 2_Norm,Condition 2_PosA,Condition 2_PosN,Condition 2_RRAe,Condition 2_RRAn,Condition 2_RRNn,Roof Matl_CompShg,Roof Matl_Membran,Roof Matl_Metal,Roof Matl_Roll,Roof Matl_Tar&Grv,Roof Matl_WdShake,Roof Matl_WdShngl,Mas Vnr Type_BrkFace,Mas Vnr Type_CBlock,Mas Vnr Type_None,Mas Vnr Type_Stone,Exter Qual_Fa,Exter Qual_Gd,Exter Qual_TA,Bsmt Qual_Fa,Bsmt Qual_Gd,Bsmt Qual_None,Bsmt Qual_Po,Bsmt Qual_TA,Central Air_Y,Kitchen Qual_Fa,Kitchen Qual_Gd,Kitchen Qual_Po,Kitchen Qual_TA,Garage Finish_None,Garage Finish_RFn,Garage Finish_Unf,Garage Qual_Fa,Garage Qual_Gd,Garage Qual_None,Garage Qual_Po,Garage Qual_TA,Mas Vnr Area,Garage Yr Blt,Year Remod/Add,Full Bath,Year Built,1st Flr SF,Total Bsmt SF,Garage Area,Garage Cars,Gr Liv Area,Overall Qual,SalePrice
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0.055606777254140226,-0.7304983310137766,-1.155885657400272,-1.0196065714935767,-0.36824308748490975,1.2815572372477466,0.06562626938269957,0.2587144999817702,0.30946500799071514,0.31366311442592615,-0.06181207453460391,12.2783933071098
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,-0.5695147609970919,-0.6896048399538243,-1.1079377834389814,-1.0196065714935767,-0.33514578778619813,-0.6755365756454205,-0.3842435682268335,1.197199524207966,-1.0039515390809892,-1.1926167592773707,-0.771062874431658,11.56171562913966
2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0.03328100803088194,-0.8122853131336812,-1.2517814053228533,-1.0196065714935767,-0.4344376868823329,0.43949187301608134,0.6313716712249912,-0.744814040774954,-1.0039515390809892,-0.33443362070693966,-0.06181207453460391,12.05524975579559
3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,-0.5695147609970919,-0.4033504025341581,-0.772302665709947,0.794068598264912,-0.10346468989521702,2.4506632781076125,2.4058582529070383,0.2308387071829723,0.30946500799071514,1.213467144243422,0.6474387253624502,12.404923504275338
4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,-0.5695147609970919,0.782560838204459,0.6661335531287722,0.794068598264912,0.856357001367419,-0.593132625628866,-0.27972835342865915,0.045000088524319685,0.30946500799071514,0.2601505399654143,-0.771062874431658,12.154252896800378
5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,-0.45788591488080044,0.8234543292644113,0.6661335531287722,0.794068598264912,0.8894543010661305,-0.5982828725049008,-0.2842724932024928,-0.010751497073276103,0.30946500799071514,0.2106018599093848,-0.06181207453460391,12.183315658407558
6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,-0.5695147609970919,0.9461348024442683,0.8099771750126442,0.794068598264912,0.9887462001622653,0.46266798395823727,0.6518203002072427,0.5095966351709512,0.30946500799071514,-0.31659609588676907,1.3566895252595044,12.271392111650817
7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,-0.5695147609970919,0.5780933829046975,0.3784463093610284,0.794068598264912,0.6908705028738611,0.3133108245532324,0.5200402467660663,0.15650325971951126,0.30946500799071514,-0.4315490336167575,1.3566895252595044,12.162643087602838
8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,-0.5695147609970919,0.7007738560845543,0.5702378052061909,0.794068598264912,0.7901624019699959,1.1785522997270537,1.235742261144869,0.6303917372990755,0.30946500799071514,0.23438522633627895,1.3566895252595044,12.373703486914124
9,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,-0.5695147609970919,0.8643478203243636,0.7140814270900628,0.794068598264912,0.9225516007648422,-0.33562028182713355,-0.12977174089214813,-0.14083853013433295,0.30946500799071514,0.6069913003576208,0.6474387253624502,12.14950229404178
10,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,-0.5695147609970919,0.6189868739646498,0.4743420572836097,0.794068598264912,0.7239678025725726,-1.0180279929017249,-0.6546198847699367,-0.15013046106726557,0.30946500799071514,0.311681167223685,-0.06181207453460391,12.077670930725649
11,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,-0.5695147609970919,0.5780933829046975,1.0976644187803881,0.794068598264912,0.6908705028738611,0.07382434481762115,0.26556841943138093,-0.2430497703965919,0.30946500799071514,-0.6158701234251872,-0.06181207453460391,12.128111104060462
12,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,-0.5695147609970919,0.8234543292644113,0.6661335531287722,0.794068598264912,0.8894543010661305,-0.9510747835132743,-0.595546067710099,-0.36849083799118243,0.30946500799071514,-0.0648888012021392,-0.06181207453460391,12.10293188661066
13,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,-0.5695147609970919,0.4963064007847928,0.2825505614384471,-1.0196065714935767,0.6246759034764379,0.47039335427228923,0.565481644504403,0.15650325971951126,0.30946500799071514,-0.3106502542800455,0.6474387253624502,12.052338545588132
14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,-0.5695147609970919,0.29183894548503125,0.04281119163199391,-1.0196065714935767,0.45918940498287997,0.8849882277930786,0.9926307832447677,0.2587144999817702,0.30946500799071514,0.008443245280784448,1.3566895252595044,12.26434155365415
15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2.796094949409095,1.0279217845641728,0.9058729229352255,2.607743768023401,1.0549407995596884,1.3691114341403356,1.3607061049252946,1.712901690985727,1.6228815550624196,3.530363423663361,1.3566895252595044,13.195613839143922
