MS SubClass,MS Zoning,Street,Lot Shape,Land Contour,Utilities,Lot Config,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Foundation,Heating,Central Air,Electrical,Functional,Garage Type,Garage Finish,Paved Drive,Sale Type,Sale Condition,Lot Frontage,Lot Area,Land Slope,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Mas Vnr Area,Exter Qual,Exter Cond,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplaces,Garage Yr Blt,Garage Cars,Garage Area,Garage Qual,Garage Cond,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,SalePrice
20,RL,Pave,IR1,Lvl,AllPub,Corner,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,Plywood,Stone,CBlock,GasA,Y,SBrkr,Typ,Attchd,Fin,P,WD ,Normal,3.271874375873095,2.7443807281109063,-0.2158351399420229,-0.06725371171123777,-0.5067184252539721,-0.3755370142911952,-1.1634881302484883,0.05663941461538438,-0.6870426580099918,-0.22959174111133185,0.656612817735664,1.2761738047120894,0.1305837121165908,0.4311708482619663,-0.19449210115871898,-0.2940229229794508,-0.2691797592956107,0.06444434325431742,-2.243943246082269,1.267003337699396,-0.7831853135907442,-0.10100493596546713,0.3092650614142043,1.0840643982138038,-0.24939576609842934,-1.0247928895561034,-0.755202693152744,0.17609421298456596,-0.2072914450684739,-0.7710782226945262,0.35416673338464155,2.1621800494542995,-0.7305105004155094,0.3066990922580224,0.25668446752231794,0.15309288074344182,0.12724251596182745,0.9201213073107155,0.2144086130638208,-0.3588380041723937,-0.1031343162481333,-0.285354423645959,-0.06303104887737992,-0.08942227838639759,-0.4480574389864128,1.6784989953969243,5.332438459915605
20,RH,Pave,Reg,Lvl,AllPub,Inside,NAmes,Feedr,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,CBlock,GasA,Y,SBrkr,Typ,Attchd,Unf,Y,WD ,Normal,0.46525294114187954,0.18709726495376833,-0.2158351399420229,-0.776078802768527,0.39309065716671826,-0.34246844868822607,-1.11554196603662,-0.5712423411944665,-0.6870426580099918,-0.22959174111133185,-0.021933859434834096,-0.39185317404589554,-0.2719651782569356,0.055705898152276445,0.37863302279342687,0.557490170276939,-0.6583962951208494,-0.38508093687937356,-1.2000001354088732,-0.6726430144946557,-0.7831853135907442,-0.10100493596546713,-1.1944270494036793,-0.8223263272937141,-0.24939576609842934,-1.0247928895561034,-0.755202693152744,-1.0322337590172566,-0.2072914450684739,-0.7710782226945262,-0.9175348950675649,-0.9251433155072492,-0.690223017150481,-1.0085595332525896,1.1963367366010973,0.15309288074344182,0.12724251596182745,0.3660608207986128,-0.704492669149445,-0.3588380041723937,-0.1031343162481333,1.8545298777215957,-0.06303104887737992,-0.08942227838639759,-0.07960156016794817,1.6784989953969243,5.021189299069938
20,RL,Pave,IR1,Lvl,AllPub,Corner,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,CBlock,GasA,Y,SBrkr,Typ,Attchd,Unf,Y,WD ,Normal,0.5112631285964896,0.5228137013271369,-0.2158351399420229,-0.06725371171123777,0.39309065716671826,-0.4416741454971335,-1.2593804586722255,0.03421506619360399,-0.6870426580099918,-0.22959174111133185,-0.021933859434834096,-0.39185317404589554,0.5331326024901172,1.0547500636488194,-0.19449210115871898,-0.2940229229794508,-0.34884396253469463,0.6297564379678985,-1.2000001354088732,0.4324449730053764,-0.7831853135907442,-0.10100493596546713,-0.33771825468770084,-0.8223263272937141,-0.24939576609842934,-1.0247928895561034,1.2346749066112308,0.17609421298456596,-0.2072914450684739,0.7371054839109219,-0.2816840808414617,-0.9251433155072492,-0.8110854669455659,-1.0085595332525896,-0.7480922162450897,0.15309288074344182,0.12724251596182745,2.3685937220494977,-0.17093708592883902,-0.3588380041723937,-0.1031343162481333,-0.285354423645959,-0.06303104887737992,21.98572513839976,-0.07960156016794817,1.6784989953969243,5.235528446907549
60,RL,Pave,IR1,Lvl,AllPub,Inside,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,SBrkr,Typ,Attchd,Fin,Y,WD ,Normal,0.3732325662326593,-0.02156731780533106,-0.2158351399420229,-0.06725371171123777,0.39309065716671826,0.8810684786216327,0.6584661098025154,-0.4591205990855646,-0.6870426580099918,-0.22959174111133185,-0.021933859434834096,-0.39185317404589554,0.9356814928636435,0.34992989414466497,-0.19449210115871898,-0.2940229229794508,-0.5354858101234056,-0.2851864301829978,0.8878860859379191,-0.5960780269080485,0.7997337155342581,-0.10100493596546713,0.20638086435824385,-0.8223263272937141,-0.24939576609842934,0.7840282950218381,1.2346749066112308,0.17609421298456596,-0.2072914450684739,0.7371054839109219,0.35416673338464155,0.6185183669735254,0.8004138636555669,0.3066990922580224,-0.01311667904485634,0.15309288074344182,0.12724251596182745,2.107393778408078,-0.17093708592883902,-0.3588380041723937,-0.1031343162481333,-0.285354423645959,-0.06303104887737992,-0.08942227838639759,-0.07960156016794817,1.6784989953969243,5.291146761731886
120,RL,Pave,IR1,HLS,AllPub,Inside,StoneBr,Norm,Norm,TwnhsE,1Story,Gable,CompShg,HdBoard,HdBoard,None,PConc,GasA,Y,SBrkr,Typ,Attchd,RFn,Y,WD ,Normal,-1.2371239946786936,-0.6527649881587382,-0.2158351399420229,1.3503964704033409,-0.5067184252539721,0.6826570850038177,0.37078912453130425,-0.5712423411944665,1.0364462015527445,-0.22959174111133185,-0.021933859434834096,-0.39185317404589554,0.5331326024901172,-0.39441290168682536,-0.19449210115871898,-0.2940229229794508,1.0418654140104564,0.5185102827832982,0.8878860859379191,0.3073888266139178,-0.7831853135907442,-0.10100493596546713,-0.4346668249904328,-0.8223263272937141,-0.24939576609842934,0.7840282950218381,-0.755202693152744,-1.0322337590172566,-0.2072914450684739,0.7371054839109219,-0.9175348950675649,-0.9251433155072492,0.558688964065397,0.3066990922580224,0.15434610158304493,0.15309288074344182,0.12724251596182745,-0.7420601522255925,0.510828381519713,-0.3588380041723937,-0.1031343162481333,2.282506737995107,-0.06303104887737992,-0.08942227838639759,-1.9218809542602713,1.6784989953969243,5.282168778304642
120,RL,Pave,IR1,Lvl,AllPub,Inside,StoneBr,Norm,Norm,TwnhsE,1Story,Gable,CompShg,CemntBd,CmentBd,None,PConc,GasA,Y,SBrkr,Typ,Attchd,RFn,Y,WD ,Normal,-1.421164744497134,-0.604025815543474,-0.2158351399420229,1.3503964704033409,-0.5067184252539721,0.7818627818127252,0.5625737813787783,-0.5712423411944665,1.0364462015527445,-0.22959174111133185,-0.021933859434834096,-0.39185317404589554,0.9356814928636435,1.619045339544669,-0.19449210115871898,-0.2940229229794508,-0.32835888170178734,1.233664137541443,0.8878860859379191,1.1649166875839196,-0.7831853135907442,-0.10100493596546713,0.2301233713711578,1.0840643982138038,-0.24939576609842934,0.7840282950218381,-0.755202693152744,-1.0322337590172566,-0.2072914450684739,0.7371054839109219,-0.9175348950675649,0.6185183669735254,0.6795514138604819,0.3066990922580224,0.6288239800287653,0.15309288074344182,0.12724251596182745,1.1338303521082407,1.5482975711153357,-0.3588380041723937,-0.1031343162481333,-0.285354423645959,-0.06303104887737992,-0.08942227838639759,-1.184969196623342,1.6784989953969243,5.37383114507383
60,RL,Pave,Reg,Lvl,AllPub,Inside,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Typ,Attchd,Fin,Y,WD ,Normal,-0.4549508079503222,-0.3360872910882072,-0.2158351399420229,0.6415713793460515,-0.5067184252539721,0.9141370442246018,0.7064122740143839,-0.5712423411944665,-0.6870426580099918,-0.22959174111133185,-0.021933859434834096,-0.39185317404589554,-1.0770629590039884,-0.9718823863584536,-0.19449210115871898,-0.2940229229794508,0.9895146518819155,-0.13080401074314432,-0.156057024735477,-0.3357570691135836,1.0285332212189928,-0.10100493596546713,0.6020893145734764,-0.8223263272937141,-0.24939576609842934,0.7840282950218381,1.2346749066112308,0.17609421298456596,-0.2072914450684739,0.7371054839109219,0.35416673338464155,0.6185183669735254,0.8407013469205953,0.3066990922580224,-0.1433655084221129,0.15309288074344182,0.12724251596182745,0.3660608207986128,0.1847666362182316,-0.3588380041723937,-0.1031343162481333,-0.285354423645959,-0.06303104887737992,-0.08942227838639759,-0.07960156016794817,1.6784989953969243,5.276461804173244
20,RL,Pave,IR1,Lvl,AllPub,Inside,Gilbert,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,PConc,GasA,Y,SBrkr,Typ,Attchd,Fin,Y,WD ,Normal,0.19872545885976872,-0.275163325319127,-0.2158351399420229,-0.06725371171123777,1.2928997395874087,0.6826570850038177,1.089981587709332,-0.5712423411944665,-0.6870426580099918,2.4612234647134725,-0.021933859434834096,-0.39185317404589554,0.5331326024901172,1.0810984812003768,-0.19449210115871898,-0.2940229229794508,-0.7426127385450239,0.264233356647069,0.8878860859379191,0.07003736509543515,-0.7831853135907442,-0.10100493596546713,-0.618671254340516,1.0840643982138038,-0.24939576609842934,0.7840282950218381,-0.755202693152744,0.17609421298456596,-0.2072914450684739,-0.7710782226945262,-0.2816840808414617,-0.9251433155072492,0.558688964065397,0.3066990922580224,-0.24570387436138588,0.15309288074344182,0.12724251596182745,3.0809572047079157,-0.3932519122707582,-0.3588380041723937,-0.1031343162481333,-0.285354423645959,-0.06303104887737992,0.7935836182850489,-1.184969196623342,1.6784989953969243,5.267171728403014
60,RL,Pave,IR1,Lvl,AllPub,Inside,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Typ,Attchd,Fin,Y,WD ,Normal,-0.31692024558649196,-0.22160100541381075,-0.2158351399420229,-0.06725371171123777,-0.5067184252539721,0.8810684786216327,0.6584661098025154,-0.5712423411944665,-0.6870426580099918,-0.22959174111133185,-0.021933859434834096,-0.39185317404589554,-1.0770629590039884,-0.9718823863584536,-0.19449210115871898,-0.2940229229794508,0.5229100329101382,-0.5962215987603496,-0.156057024735477,-0.9457248035535551,0.7950643378672226,-0.10100493596546713,-0.06863650854134275,-0.8223263272937141,-0.24939576609842934,0.7840282950218381,1.2346749066112308,0.17609421298456596,-0.2072914450684739,-0.7710782226945262,0.35416673338464155,0.6185183669735254,0.8004138636555669,0.3066990922580224,-0.37130095983231187,0.15309288074344182,0.12724251596182745,-0.7420601522255925,0.40708146256015076,-0.3588380041723937,-0.1031343162481333,-0.285354423645959,-0.06303104887737992,-0.08942227838639759,-0.4480574389864128,1.6784989953969243,5.256236533205923
120,RL,Pave,IR1,Lvl,AllPub,Corner,StoneBr,Norm,Norm,TwnhsE,1Story,Gable,CompShg,HdBoard,HdBoard,None,PConc,GasA,Y,SBrkr,Typ,Attchd,RFn,Y,WD ,Normal,-0.35492866130986567,-0.42239624259440395,-0.2158351399420229,1.3503964704033409,-0.5067184252539721,0.45117712578303365,0.035165975048224635,-0.5712423411944665,1.0364462015527445,-0.22959174111133185,-0.021933859434834096,0.7201648117927612,0.9356814928636435,-0.16386424811070005,1.5248832706977185,6.328856691236914,-1.2729487201080683,0.9907388598934382,-1.2000001354088732,0.8739697347548119,-0.7831853135907442,-0.10100493596546713,0.004569554748475267,1.0840643982138038,-0.24939576609842934,-1.0247928895561034,1.2346749066112308,-2.240561731019079,-0.2072914450684739,0.7371054839109219,-1.5533857092936683,-0.9251433155072492,0.2766765812101987,0.3066990922580224,0.25668446752231794,0.15309288074344182,0.12724251596182745,-0.7420601522255925,0.09584070568146395,-0.3588380041723937,-0.1031343162481333,2.211177261282855,-0.06303104887737992,-0.08942227838639759,-0.07960156016794817,1.6784989953969243,5.326335860928752
