,MS Zoning_C (all),MS Zoning_FV,MS Zoning_I (all),MS Zoning_RH,MS Zoning_RL,MS Zoning_RM,Condition 2_Feedr,Condition 2_Norm,Condition 2_PosA,Condition 2_PosN,Condition 2_RRAe,Condition 2_RRAn,Condition 2_RRNn,Street_Pave,Mas Vnr Type_BrkFace,Mas Vnr Type_CBlock,Mas Vnr Type_None,Mas Vnr Type_Stone,Roof Matl_CompShg,Roof Matl_Membran,Roof Matl_Metal,Roof Matl_Roll,Roof Matl_Tar&Grv,Roof Matl_WdShake,Roof Matl_WdShngl,Gr Liv Area,Garage Cars,Overall Qual,Year Built,Mas Vnr Area,SalePrice
0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0.3092650614142043,0.3066990922580224,-0.06725371171123777,-0.3755370142911952,0.05663941461538438,5.332438459915605
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-1.1944270494036793,-1.0085595332525896,-0.776078802768527,-0.34246844868822607,-0.5712423411944665,5.021189299069938
2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,-0.33771825468770084,-1.0085595332525896,-0.06725371171123777,-0.4416741454971335,0.03421506619360399,5.235528446907549
5,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.20638086435824385,0.3066990922580224,-0.06725371171123777,0.8810684786216327,-0.4591205990855646,5.291146761731886
7,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-0.4346668249904328,0.3066990922580224,1.3503964704033409,0.6826570850038177,-0.5712423411944665,5.282168778304642
8,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.2301233713711578,0.3066990922580224,1.3503964704033409,0.7818627818127252,-0.5712423411944665,5.37383114507383
9,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.6020893145734764,0.3066990922580224,0.6415713793460515,0.9141370442246018,-0.5712423411944665,5.276461804173244
11,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-0.618671254340516,0.3066990922580224,-0.06725371171123777,0.6826570850038177,-0.5712423411944665,5.267171728403014
12,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-0.06863650854134275,0.3066990922580224,-0.06725371171123777,0.8810684786216327,-0.5712423411944665,5.256236533205923
14,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.004569554748475267,0.3066990922580224,1.3503964704033409,0.45117712578303365,-0.5712423411944665,5.326335860928752
15,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,3.520439134910816,1.6219577177686344,1.3503964704033409,1.0464113066364784,2.809228183388927,5.730782275666389
16,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.4992051175175159,0.3066990922580224,1.3503964704033409,0.5503828225919412,-0.5712423411944665,5.214843848047698
18,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-1.2577404014381164,0.3066990922580224,-1.4849038938258163,-0.6731541047179176,-0.5712423411944665,5.14921911265538
19,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1.1343171801129641,0.3066990922580224,-0.06725371171123777,0.21969716656224958,0.09588202435350006,5.3222192947339195
20,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.6812310046165229,0.3066990922580224,-0.06725371171123777,0.18662860095928044,2.11967946941918,5.278753600952829
21,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,-0.6463708458555822,0.3066990922580224,0.6415713793460515,0.08742290415037297,-0.11714928565341363,5.230448921378274
22,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.3448788219335752,0.3066990922580224,0.6415713793460515,0.947205609827571,-0.5712423411944665,5.334453751150931
23,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,-0.9807444862874537,0.3066990922580224,-0.06725371171123777,-0.044851358261503646,0.437853337785651,5.173186268412274
24,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-0.8343323597078176,0.3066990922580224,-0.776078802768527,-0.011782792658534495,-0.5712423411944665,5.175801632848279
25,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-0.8778602892314933,-1.0085595332525896,-0.776078802768527,-0.11098848946744196,-0.5712423411944665,5.152288344383057
26,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-1.2221266409187455,0.3066990922580224,-1.4849038938258163,-0.044851358261503646,-0.5712423411944665,5.1003705451175625
27,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-1.2577404014381164,-2.323818158763202,-1.4849038938258163,-0.011782792658534495,-0.5712423411944665,5.060697840353612
29,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,-1.0143797045557486,-1.0085595332525896,-0.06725371171123777,-0.011782792658534495,2.2542255599498624,4.982271233039568
30,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,-0.8066327681927514,-1.0085595332525896,-0.776078802768527,-0.011782792658534495,2.1869525146845215,5.023252459633712
31,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,-0.8066327681927514,-1.0085595332525896,-0.06725371171123777,-0.011782792658534495,1.5646768459801155,4.944482672150168
33,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-0.08644338880102821,0.3066990922580224,-0.06725371171123777,0.12049146975334213,-0.5712423411944665,5.175801632848279
34,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-1.313139584468249,-1.0085595332525896,0.6415713793460515,0.12049146975334213,-0.5712423411944665,5.079181246047625
35,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-0.08644338880102821,0.3066990922580224,-0.06725371171123777,0.21969716656224958,-0.5712423411944665,5.164352855784437
36,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1.6507167076438425,1.6219577177686344,2.05922156146063,1.2448227002542933,0.33694376988763924,5.575374920869163
37,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0.4042350894658601,1.6219577177686344,1.3503964704033409,1.178685569048355,0.549975079894553,5.48572142648158
38,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0.8711710607198345,1.6219577177686344,2.05922156146063,1.2448227002542933,1.9514968562558273,5.596808144440335
39,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0.08766832929367409,1.6219577177686344,1.3503964704033409,1.2448227002542933,0.8639159577994784,5.463804927225282
